doseg_[km],poraba_[kWh/100km],kapaciteta_[kWh],cas_polnjenja[min/100km],pospesek(0-100km/h)_[s],cena_[EUR],drzava,leto,znamka,model,link
560.0,20.1,112.5,8,4.8,140100,Nemčija,2026,BMW,i7 60 xDrive,https://bestev4me.eu/ev-catalog/3557/bmw-i7-60-xdrive-2026
560.0,16.4,92.0,7,4.0,109000,ZDA,2023,Lucid,Air Pure AWD,https://bestev4me.eu/ev-catalog/1318/lucid-air-pure-awd-2023
560.0,18.2,102.0,6,4.0,94490,Švedska,2025,Volvo,ES90 Twin Motor Performance,https://bestev4me.eu/ev-catalog/3130/volvo-es90-twin-motor-performance-2025
560.0,17.0,95.0,8,2.4,120970,ZDA,2022,Tesla,Model S Plaid,https://bestev4me.eu/ev-catalog/1405/tesla-model-s-plaid-2022
560.0,16.9,94.9,6,4.5,81450,Nemčija,2024,Audi,A6 Avant e-tron quattro,https://bestev4me.eu/ev-catalog/3054/audi-a6-avant-e-tron-quattro-2024
560.0,18.2,102.0,6,5.5,88990,Švedska,2025,Volvo,ES90 Twin Motor,https://bestev4me.eu/ev-catalog/3129/volvo-es90-twin-motor-2025
560.0,20.1,112.5,8,5.5,121400,Nemčija,2026,BMW,i7 50 xDrive,https://bestev4me.eu/ev-catalog/3556/bmw-i7-50-xdrive-2026
555.0,15.3,85.0,5,5.0,61654,Nemčija,2025,Mercedes-Benz,CLA Shooting Brake 350 4MATIC,https://bestev4me.eu/ev-catalog/3397/mercedes-benz-cla-shooting-brake-350-4matic-2025
555.0,17.3,96.0,8,6.1,71412,Nemčija,2025,Mercedes-Benz,EQE 350+,https://bestev4me.eu/ev-catalog/3240/mercedes-benz-eqe-350-2025
555.0,17.7,98.0,10,3.8,81990,ZDA,2020,Tesla,Model S Long Range Plus,https://bestev4me.eu/ev-catalog/1323/tesla-model-s-long-range-plus-2020
555.0,17.3,96.0,8,6.5,71412,Nemčija,2024,Mercedes-Benz,EQE 350+,https://bestev4me.eu/ev-catalog/2205/mercedes-benz-eqe-350-2024
555.0,17.1,94.9,6,3.9,99500,Nemčija,2024,Audi,S6 Sportback e-tron,https://bestev4me.eu/ev-catalog/2271/audi-s6-sportback-e-tron-2024
555.0,16.9,94.0,6,4.0,67711,Nemčija,2026,Mercedes-Benz,C 400 4MATIC,https://bestev4me.eu/ev-catalog/3551/mercedes-benz-c-400-4matic-2026
555.0,14.2,79.0,8,4.4,50970,ZDA,2025,Tesla,Model 3 Long Range AWD,https://bestev4me.eu/ev-catalog/3331/tesla-model-3-long-range-awd-2025
550.0,19.3,106.0,4,7.8,81600,Kitajska,2026,XPENG,X9 FWD Long Range,https://bestev4me.eu/ev-catalog/3612/xpeng-x9-fwd-long-range-2026
550.0,10.9,60.0,12,10.0,297500,Nizozemska,2022,Lightyear,0,https://bestev4me.eu/ev-catalog/1166/lightyear-0-2022
550.0,17.5,96.0,5,5.3,53950,Kitajska,2026,Zeekr,7GT Long Range RWD,https://bestev4me.eu/ev-catalog/3429/zeekr-7gt-long-range-rwd-2026
550.0,13.6,75.0,8,5.2,44990,ZDA,2024,Tesla,Model 3 Long Range RWD,https://bestev4me.eu/ev-catalog/3034/tesla-model-3-long-range-rwd-2024
545.0,17.8,97.2,9,7.8,63200,Francija,2024,DS,N°8 FWD Long Range,https://bestev4me.eu/ev-catalog/3077/ds-n8-fwd-long-range-2024
545.0,19.8,108.0,5,4.8,109000,Nemčija,2026,Porsche,Cayenne Coupé Electric,https://bestev4me.eu/ev-catalog/3560/porsche-cayenne-coupe-electric-2026
545.0,14.7,80.0,5,7.4,55300,Južna Koreja,2026,Hyundai,IONIQ 6 84 kWh RWD,https://bestev4me.eu/ev-catalog/3439/hyundai-ioniq-6-84-kwh-rwd-2026
540.0,18.0,97.0,5,4.0,108900,Nemčija,2025,Audi,e-tron GT quattro,https://bestev4me.eu/ev-catalog/3182/audi-e-tron-gt-quattro-2025
540.0,19.6,106.0,4,5.9,86600,Kitajska,2026,XPENG,X9 AWD Performance,https://bestev4me.eu/ev-catalog/3613/xpeng-x9-awd-performance-2026
540.0,20.0,108.0,5,3.8,130300,Nemčija,2026,Porsche,Cayenne S Coupé Electric,https://bestev4me.eu/ev-catalog/3561/porsche-cayenne-s-coupe-electric-2026
540.0,16.8,90.6,8,6.6,97806,Nemčija,2021,Mercedes-Benz,EQS 350,https://bestev4me.eu/ev-catalog/1562/mercedes-benz-eqs-350-2021
540.0,21.9,118.0,9,6.8,110801,Nemčija,2023,Mercedes-Benz,EQS SUV 450+,https://bestev4me.eu/ev-catalog/2087/mercedes-benz-eqs-suv-450-2023
540.0,18.0,97.0,5,3.4,126000,Nemčija,2024,Audi,S e-tron GT,https://bestev4me.eu/ev-catalog/2219/audi-s-e-tron-gt-2024
540.0,20.0,107.8,8,3.4,155009,Nemčija,2022,Mercedes-Benz,EQS AMG 53 4MATIC+,https://bestev4me.eu/ev-catalog/1537/mercedes-benz-eqs-amg-53-4matic-2022
535.0,18.1,97.0,5,3.3,147700,Nemčija,2024,Porsche,Taycan GTS,https://bestev4me.eu/ev-catalog/3062/porsche-taycan-gts-2024
535.0,18.1,97.0,5,2.7,175600,Nemčija,2024,Porsche,Taycan Turbo,https://bestev4me.eu/ev-catalog/2102/porsche-taycan-turbo-2024
535.0,18.3,98.0,10,2.8,98990,ZDA,2020,Tesla,Model S Performance,https://bestev4me.eu/ev-catalog/1324/tesla-model-s-performance-2020
